checkpoint_id,family,variant,city,availability,ablation,checkpoint_bytes,index_bytes,data_bytes,checkpoint_sha256,index_sha256,data_sha256
ablation/results_ablation_cd/no_enhanced_state/avail_100,pgfa,pgfa,CD,100,no_enhanced_state,97,1152,409551,bcc6aadd12982a2adf1059436e2b57c912241e04b09a627090b7c410a56fc076,22905ac45e0eadb530fb3f788a86784d8e5f13e811b5d57e1dff86b553f078fe,d4bf8b2dd39dbd0c58de478d634a0efb0b16cc8f30f06e3d8dab87c303ac8507
ablation/results_ablation_cd/no_enhanced_state/avail_33,pgfa,pgfa,CD,33,no_enhanced_state,97,1152,409551,bcc6aadd12982a2adf1059436e2b57c912241e04b09a627090b7c410a56fc076,d7025361f8687d37f80667c4644584164bcae8a0a4dfebb8b3435255c875ab18,4f6debe6152dcf1a47b77c8c84f295f186d4c5e9178dfb6be6b2a7953dcbf408
ablation/results_ablation_cd/no_enhanced_state/avail_66,pgfa,pgfa,CD,66,no_enhanced_state,97,1152,409551,bcc6aadd12982a2adf1059436e2b57c912241e04b09a627090b7c410a56fc076,03b4c4b65c6998304d30dbebc01a02a18540b89a43045990825db35d0379ea58,67bb8e79a4bb55fd111e1301c3393a294c0079d60c5cdf1cd1c5211e07d54f50
ablation/results_ablation_cd/no_flow_aware_attention/avail_100,pgfa,pgfa,CD,100,no_flow_aware_attention,97,1152,409551,bcc6aadd12982a2adf1059436e2b57c912241e04b09a627090b7c410a56fc076,8f77dabbdfff0e80fd913bb3e6c10ced5beb77498d6d62ba80fbe55843e8ca1f,0668f539f4b49a8a324b9d49ca68182b209224cc01f3c0dc3441cc65788770b1
ablation/results_ablation_cd/no_flow_aware_attention/avail_33,pgfa,pgfa,CD,33,no_flow_aware_attention,97,1152,409551,bcc6aadd12982a2adf1059436e2b57c912241e04b09a627090b7c410a56fc076,8ae6507226e3d2a7546928b16cf4db7d50c7a67c0d7a66917d99a2fd6afe7e71,23bb4288bdbdb3a31b84010a9399900c90b24545c345e526b0745291dd1481db
ablation/results_ablation_cd/no_flow_aware_attention/avail_66,pgfa,pgfa,CD,66,no_flow_aware_attention,97,1152,409551,bcc6aadd12982a2adf1059436e2b57c912241e04b09a627090b7c410a56fc076,a3fd1a6cbe612d65184fd3af5c339c672d0db340a5a33e324ca250737b71bfeb,b056d5fe1ed0a24f7c740663f75b0e549f90804b017851e9ea08180a26de045b
ablation/results_ablation_cd/no_policy_flow_prior/avail_100,pgfa,pgfa,CD,100,no_policy_flow_prior,97,1152,409551,bcc6aadd12982a2adf1059436e2b57c912241e04b09a627090b7c410a56fc076,b14615525132b43db6e306a7072da3506d84cc4d127e8ec449965e6f074d82cb,8bc38cc01425b84f837e6ff976c8e8a278df78c51098344078ed2bfc81d97450
ablation/results_ablation_cd/no_policy_flow_prior/avail_33,pgfa,pgfa,CD,33,no_policy_flow_prior,97,1152,409551,bcc6aadd12982a2adf1059436e2b57c912241e04b09a627090b7c410a56fc076,c8a9dcd5651976429a518ba395425ef90ff2f112223923e4ee523c18ae9f9168,152911f7883c66652013c15b45cbc1487e251d0a00ef8df541384221710ad16a
ablation/results_ablation_cd/no_policy_flow_prior/avail_66,pgfa,pgfa,CD,66,no_policy_flow_prior,97,1152,409551,bcc6aadd12982a2adf1059436e2b57c912241e04b09a627090b7c410a56fc076,3731cb71eb99eb781175c6635cabea35fadf54a559537bf18b7abe0d99d973f0,e90353705b70fd0c06e533550aec6daf5a2c8b3e18eb9e80224a37422ad5e214
ablation/results_ablation_cd/no_policy_guided_message/avail_100,pgfa,pgfa,CD,100,no_policy_guided_message,97,1152,409551,bcc6aadd12982a2adf1059436e2b57c912241e04b09a627090b7c410a56fc076,01c5628f76b6b3472abc986f36ad1047e9c2edcab77b505a093b59bc311ad06b,b5c0e71dbeb719604417439e898f7e96a500bfbec664e99e59389138f68b0d43
